# JMH version: 1.37
# VM version: JDK 21.0.5, OpenJDK 64-Bit Server VM, 21.0.5+11-LTS
# VM invoker: /home/rafael/.sdkman/candidates/java/21.0.5-amzn/bin/java
# VM options: <none>
# Blackhole mode: compiler (auto-detected, use -Djmh.blackhole.autoDetect=false to disable)
# Warmup: 10 iterations, 1 s each
# Measurement: 100 iterations, 1 s each
# Timeout: 10 min per iteration
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Average time, time/op
# Benchmark: org.sample.ECDSABenchmark.benchmarkKeyGeneration

# Run progress: 0.00% complete, ETA 02:45:00
# Fork: 1 of 5
# Warmup Iteration   1: 134671.869 ns/op
# Warmup Iteration   2: 74628.451 ns/op
# Warmup Iteration   3: 59428.001 ns/op
# Warmup Iteration   4: 63360.924 ns/op
# Warmup Iteration   5: 61486.580 ns/op
# Warmup Iteration   6: 64780.108 ns/op
# Warmup Iteration   7: 57246.800 ns/op
# Warmup Iteration   8: 58081.752 ns/op
# Warmup Iteration   9: 57657.816 ns/op
# Warmup Iteration  10: 60837.091 ns/op
Iteration  37: 57438.261 ns/op
Iteration  38: 58288.742 ns/op
Iteration  39: 57928.398 ns/op
Iteration  40: 57268.714 ns/op
Iteration  41: 59653.496 ns/op
Iteration  42: 59231.821 ns/op
Iteration  43: 58328.277 ns/op
Iteration  44: 59776.239 ns/op
Iteration  45: 58591.190 ns/op
Iteration  46: 57953.747 ns/op
Iteration  47: 56765.380 ns/op
Iteration  48: 57319.837 ns/op
Iteration  49: 58838.800 ns/op
Iteration  50: 59360.024 ns/op
Iteration  51: 57201.849 ns/op
Iteration  52: 57252.083 ns/op
Iteration  53: 57048.060 ns/op
Iteration  54: 61925.930 ns/op
Iteration  55: 65582.295 ns/op
Iteration  56: 58323.111 ns/op
Iteration  57: 61776.189 ns/op
Iteration  58: 61915.720 ns/op
Iteration  59: 60215.769 ns/op
Iteration  60: 58082.840 ns/op
Iteration  61: 61591.813 ns/op
Iteration  62: 57886.466 ns/op
Iteration  63: 60447.633 ns/op
Iteration  64: 60804.388 ns/op
Iteration  65: 59382.271 ns/op
Iteration  66: 59825.538 ns/op
Iteration  67: 59290.782 ns/op
Iteration  68: 60390.336 ns/op
Iteration  69: 59939.630 ns/op
Iteration  70: 62129.259 ns/op
Iteration  71: 58506.914 ns/op
Iteration  72: 59954.742 ns/op
Iteration  73: 57710.540 ns/op
Iteration  74: 58660.659 ns/op
Iteration  75: 57555.055 ns/op
Iteration  76: 59159.049 ns/op
Iteration  77: 57147.744 ns/op
Iteration  78: 59157.408 ns/op
Iteration  79: 59495.836 ns/op
Iteration  80: 59984.600 ns/op
Iteration  81: 57628.925 ns/op
Iteration  82: 57501.288 ns/op
Iteration  83: 56788.296 ns/op
Iteration  84: 57552.351 ns/op
Iteration  85: 57158.891 ns/op
Iteration  86: 57498.182 ns/op
Iteration  87: 56804.555 ns/op
Iteration  88: 58179.296 ns/op
Iteration  89: 60013.623 ns/op
Iteration  90: 57334.011 ns/op
Iteration  91: 59255.642 ns/op
Iteration  92: 57680.066 ns/op
Iteration  93: 58319.634 ns/op
Iteration  94: 58508.407 ns/op
Iteration  95: 57048.867 ns/op
Iteration  96: 60225.026 ns/op
Iteration  97: 59401.051 ns/op
Iteration  98: 61126.410 ns/op
Iteration  99: 61998.301 ns/op
Iteration 100: 61968.197 ns/op

# Run progress: 3.33% complete, ETA 02:39:55
# Fork: 4 of 5
# Warmup Iteration   1: 161952.627 ns/op
